paperTitle	citedPaperTitle
2d Model Field Theories at Finite Temperature and Density	Leading Large N Modification of QCD_2 on a Cylinder by Dynamical
2d Model Field Theories at Finite Temperature and Density	On Eigenvalue Decompactification in QCD_{1+1} 
2d Model Field Theories at Finite Temperature and Density	QCD_{1+1} with Static Quarks as Supersymmetric Quantum Mechanics
2D Yang-Mills Theories, Gauge Orbit Space and The Path Integral	Gauge Theory of Relativistic Membranes
2T Physics Formulation of Superconformal Dynamics Relating to Twistors	Two-Time Physics with gravitational and gauge field backgrounds
2T Physics Formulation of Superconformal Dynamics Relating to Twistors	Two-Time Physics in Field Theory
2T Physics Formulation of Superconformal Dynamics Relating to Twistors	Gauge symmetry in phase space with spin, a basis for conformal symmetry
2T Physics Formulation of Superconformal Dynamics Relating to Twistors	Hidden Symmetries, AdS_D x S^n, and the lifting of one-time-physics to
3-D Perturbations in Conformal Turbulence	Some Additional Solutions of Conformal Turbulence
3-D Perturbations in Conformal Turbulence	Spectra of Conformal Turbulence
3-D Perturbations in Conformal Turbulence	The Theory of Turbulence in Two Dimensions
3-D Perturbations in Conformal Turbulence	Conformal Turbulence with Boundary
3-D Perturbations in Conformal Turbulence	Possible Tests of Conformal Turbulence through Boundaries
3-point functions of universal scalars in maximal SCFTs at large N	Four-point Functions of Lowest Weight CPOs in N=4 SYM_4 in Supergravity
3-point functions of universal scalars in maximal SCFTs at large N	Bound States Of Strings And p-Branes
3-point functions of universal scalars in maximal SCFTs at large N	The Large N Limit of Superconformal Field Theories and Supergravity
3-point functions of universal scalars in maximal SCFTs at large N	Anti De Sitter Space And Holography
3-point functions of universal scalars in maximal SCFTs at large N	Conformal Field Theory Correlators from Classical Scalar Field Theory on
3-point functions of universal scalars in maximal SCFTs at large N	Some Cubic Couplings in Type IIB Supergravity on AdS_5times S^5 and
3-point functions of universal scalars in maximal SCFTs at large N	Extremal Correlators in the AdS/CFT Correspondence
3-point functions of universal scalars in maximal SCFTs at large N	Three-point correlators of stress tensors in maximally-supersymmetric
3-Sasakian Manifolds	The Large N Limit of Superconformal Field Theories and Supergravity
3-Sasakian Manifolds	Anti De Sitter Space And Holography
3-Sasakian Manifolds	Superconformal Field Theory on Threebranes at a Calabi-Yau Singularity
3D N=2 massive super Yang-Mills and membranes/D2-branes in a curved	On a Matrix Model of Level Structure
3D N=2 massive super Yang-Mills and membranes/D2-branes in a curved	(Twisted) Toroidal Compactification of pp-Waves
3D N=2 massive super Yang-Mills and membranes/D2-branes in a curved	Matrix Perturbation Theory For M-theory On a PP-Wave
3D N=2 massive super Yang-Mills and membranes/D2-branes in a curved	Penrose Limits, Deformed pp-Waves and the String Duals of N=1 Large n
3D N=2 massive super Yang-Mills and membranes/D2-branes in a curved	Branes from Matrix Theory in PP-Wave Background
3D N=2 massive super Yang-Mills and membranes/D2-branes in a curved	TASI Lectures on D-Branes
3D N=2 massive super Yang-Mills and membranes/D2-branes in a curved	On non-abelian generalisation of Born-Infeld action in string theory
3D N=2 massive super Yang-Mills and membranes/D2-branes in a curved	Another Conjecture about M(atrix) Theory
3D N=2 massive super Yang-Mills and membranes/D2-branes in a curved	Kappa-Symmetry, Supersymmetry and Intersecting Branes
3D N=2 massive super Yang-Mills and membranes/D2-branes in a curved	D0 Branes on T^n and Matrix Theory
4 D Quantum N-Dilaton Gravity and One-Loop Divergence of Effective	4-D Quantum Dilaton Gravity During Inflation and Renormalization at One
4-D Quantum Dilaton Gravity During Inflation and Renormalization at One	NULL
4D and 2D Evaporating Dilatonic Black Holes	The Endpoint of Hawking Evaporation
4D Quantum Affine Algebras and Space--Time q-Symmetries	NULL
5-Dimensional Warped Cosmological Solutions With Radius Stabilization by	NULL
7D Bosonic Higher Spin Theory: Symmetry Algebra and Linearized	Cubic Interactions of Bosonic Higher Spin Gauge Fields in AdS_5
7D Bosonic Higher Spin Theory: Symmetry Algebra and Linearized	Higher Spin N=8 Supergravity
7D Bosonic Higher Spin Theory: Symmetry Algebra and Linearized	Higher Spin N=8 Supergravity in AdS_4
7D Bosonic Higher Spin Theory: Symmetry Algebra and Linearized	Unitary Supermultiplets of OSp(8^*|4) and the AdS_7/CFT_6 Duality
8D oscillator as a hidden SU(2) - monopole	NULL
A "Periodic Table" for Supersymmetric M-Theory Compactifications	Getting just the Standard Model at Intersecting Branes
A "Periodic Table" for Supersymmetric M-Theory Compactifications	Branes at angles and calibrated geometry
A (1,2) Heterotic String with Gauge Symmetry	NULL
A ``Gaussian Approach to Computing Supersymmetric Effective Actions	On the Calculation of Effective Actions by String Methods
A ``Gaussian Approach to Computing Supersymmetric Effective Actions	Extended superspace, higher derivatives and SL(2, Z) duality
A ``Gaussian Approach to Computing Supersymmetric Effective Actions	Nonholomorphic Corrections to the One-Loop N=2 Super Yang-Mills Action
A 10-form Gauge Potential and an M-9-brane Wess-Zumino Action in Massive	Duality of Type II 7-branes and 8-branes
A 10-form Gauge Potential and an M-9-brane Wess-Zumino Action in Massive	U-Duality and BPS Spectrum of Super Yang-Mills Theory and M-Theory
A 10-form Gauge Potential and an M-9-brane Wess-Zumino Action in Massive	Massive Branes
A 10-form Gauge Potential and an M-9-brane Wess-Zumino Action in Massive	Brane Actions and String Dualities
A Bestiary of Higher Dimensional Taub-NUT-AdS Spacetimes	Curvature Singularities: the Good, the Bad, and the Naked
A Bestiary of Higher Dimensional Taub-NUT-AdS Spacetimes	Nut Charge, Anti-de Sitter Space and Entropy
A black hole hologram in de Sitter space	On the Holographic Principle in a Radiation Dominated Universe
A black hole hologram in de Sitter space	The Large N Limit of Superconformal Field Theories and Supergravity
A black hole hologram in de Sitter space	Anti De Sitter Space And Holography
A black hole in two-dimensional space-time	The Causal Structure of Two-Dimensional Spacetimes
A Bohmian Interpretation for Noncommutative Quantum Field Theory and	Convergence Theorem for Non-commutative Feynman Graphs and
A Bohmian Interpretation for Noncommutative Quantum Field Theory and	Hydrogen Atom Spectrum and the Lamb Shift in Noncommutative QED
A Bohmian Interpretation for Noncommutative Quantum Field Theory and	Noncommutative Quantum Cosmology
A Bohmian Interpretation for Noncommutative Quantum Field Theory and	Newtons Second Law in a Noncommutative Space
A Bohmian Interpretation for Noncommutative Quantum Field Theory and	D-branes and the Noncommutative Torus
A Bohmian Interpretation for Noncommutative Quantum Field Theory and	Quantum Field Theory on Noncommutative Space-Times and the Persistence
A Brief History of the Stringy Instanton	Geometric Engineering of N=1 Quantum Field Theories
A Brief History of the Stringy Instanton	D-particle bound states and generalized instantons
A Brief History of the Stringy Instanton	Non-perturbative Effects in AdS5 * S5 String Theory and d=4 SUSY
A Brief History of the Stringy Instanton	Gluino Condensate and Magnetic Monopoles in Supersymmetric Gluodynamics
A Brief History of the Stringy Instanton	ADHM and D-instantons in orbifold AdS/CFT duality
A Brief History of the Stringy Instanton	Instantons in {cal N}=2 Sp(N) Superconformal Gauge Theories and the
A Brief Introduction to Poisson Sigma-Models	Poisson Structure Induced (Topological) Field Theories
A Brief Review of Three-Family Grand Unification in String Theory	The Search for a realistic flipped SU(5) string model
A Brief Review of Three-Family Grand Unification in String Theory	Supersymmetries in Free Fermionic Strings
A Brief Review of Three-Family Grand Unification in String Theory	String Theory and the Path to Unification: A Review of Recent
A Brief Review of Three-Family Grand Unification in String Theory	Strong Coupling Expansion Of Calabi-Yau Compactification
A Brief Review of Three-Family Grand Unification in String Theory	Four-dimensional N=1 Z_N X Z_M Orientifolds
A Brief Review of Three-Family Grand Unification in String Theory	A Three-Family SU(6) Type I Compactification
A Brief Review of Three-Family Grand Unification in String Theory	Branes with GUTs and supersymmetry breaking
A c=-2 boundary changing operator for the Abelian sandpile	Scaling fields in the two-dimensional abelian sandpile model
A c=-2 boundary changing operator for the Abelian sandpile	An algebraic approach to logarithmic conformal field theory
A c=-2 boundary changing operator for the Abelian sandpile	Logarithmic Operators in Conformal Field Theory
A c=-2 boundary changing operator for the Abelian sandpile	A Rational Logarithmic Conformal Field Theory
A Calibration Bound for the M-Theory Fivebrane	Branes at angles and calibrated geometry
A Calibration Bound for the M-Theory Fivebrane	Monopole Dynamics from the M-Fivebrane
A Causal Entropy Bound	Pre-big bang bubbles from the gravitational instability of generic
A Causal Entropy Bound	Cosmology vs. Holography
A Causal Entropy Bound	Proof of Classical Versions of the Bousso Entropy Bound and of the
A Change of Variables to the Dual and Factorization of Composite	On Non-Abelian Duality
A Change of Variables to the Dual and Factorization of Composite	Non-Abelian Duality and Canonical Transformations
A Change of Variables to the Dual and Factorization of Composite	Classical Duality in Gauge Theories
A Class of Bicovariant Differential Calculi on Hopf Algebras	NULL
A class of nonlocal truncations in Quantum Einstein Gravity and its	Optimisation of the exact renormalisation group
A class of nonlocal truncations in Quantum Einstein Gravity and its	Gauge invariance and background field formalism in the exact
A class of nonlocal truncations in Quantum Einstein Gravity and its	Optimised Renormalisation Group Flows
A class of nonlocal truncations in Quantum Einstein Gravity and its	Ultraviolet Fixed Point and Generalized Flow Equation of Quantum Gravity
A class of nonlocal truncations in Quantum Einstein Gravity and its	Renormalisation group flows for gauge theories in axial gauges
A class of nonlocal truncations in Quantum Einstein Gravity and its	Nonperturbative Evolution Equation for Quantum Gravity
A Cohomological Interpretation of the Migdal-Makeenko Equations	NULL
A Collection of Exercises in Two-Dimensional Physics, Part 1	Duality in Quantum Toda theory and W-algebras
A Collection of Exercises in Two-Dimensional Physics, Part 1	Partition Functions, Intertwiners and the Coxeter Element
A Collection of Exercises in Two-Dimensional Physics, Part 1	Null vectors of the W_3 algebra
A Collection of Exercises in Two-Dimensional Physics, Part 1	W-symmetry in Conformal Field Theory
A Collection of Exercises in Two-Dimensional Physics, Part 1	The Classification of Affine SU(3) Modular Invariant Partition Functions
A Collection of Exercises in Two-Dimensional Physics, Part 1	Exactly Marginal Operators and Running Coupling Constants in 2D Gravity
A Collection of Exercises in Two-Dimensional Physics, Part 1	Logarithmic Operators in Conformal Field Theory
A Collection of Exercises in Two-Dimensional Physics, Part 1	On a generalised bootstrap principle
A Collection of Exercises in Two-Dimensional Physics, Part 1	Implications of Conformal Invariance in Field Theories for General
A Collection of Exercises in Two-Dimensional Physics, Part 1	Notes on WGL_n-Algebras and Quantum Miura Transformation
A Collection of Exercises in Two-Dimensional Physics, Part 1	Classification of Structure Constants for W-algebras from Highest
A Collection of Exercises in Two-Dimensional Physics, Part 1	The Classification of SU(3) Modular Invariants Revisited
A Collection of Exercises in Two-Dimensional Physics, Part 1	Quantum integrability in two-dimensional systems with boundary
A Collection of Exercises in Two-Dimensional Physics, Part 1	Quantum Group and Quantum Symmetry
A Collection of Exercises in Two-Dimensional Physics, Part 1	The resolution of field identification fixed points in diagonal coset
A Collection of Exercises in Two-Dimensional Physics, Part 1	From CFTs to Graphs
A Collection of Exercises in Two-Dimensional Physics, Part 1	Exact solutions to quantum field theories and integrable equations
A Collection of Exercises in Two-Dimensional Physics, Part 1	A Rational Logarithmic Conformal Field Theory
A Collection of Exercises in Two-Dimensional Physics, Part 1	Bosonization of vertex operators for the A^{(1)_{n-1} face model
A Collection of Exercises in Two-Dimensional Physics, Part 1	Duality in Quantum Field Theory (and String Theory)
A Collection of Exercises in Two-Dimensional Physics, Part 1	String Primer
A Collection of Exercises in Two-Dimensional Physics, Part 1	Hermitian analyticity versus Real analyticity in two-dimensional
A Collection of Exercises in Two-Dimensional Physics, Part 1	Symmetric boundary conditions in boundary critical phenomena
A Collection of Exercises in Two-Dimensional Physics, Part 1	Conformal field theory: a case study
A Collection of Exercises in Two-Dimensional Physics, Part 1	A new approach to the correlation functions of W-algebras
A Collection of Exercises in Two-Dimensional Physics, Part 1	Conformal Field Theory Techniques in Random Matrix models
A Collection of Exercises in Two-Dimensional Physics, Part 1	Conformal boundary conditions and three-dimensional topological field
A Collection of Exercises in Two-Dimensional Physics, Part 1	Tools for supersymmetry
A Collection of Exercises in Two-Dimensional Physics, Part 1	On the quantum inverse scattering problem
A comment on bouncing and cyclic branes in more than one extra-dimension	A Cyclic Model of the Universe
A comment on bouncing and cyclic branes in more than one extra-dimension	Bouncing and cyclic universes from brane models
A comment on causality	The Large N Limit of Superconformal Field Theories and Supergravity
A comment on causality	Fields
A Comment on Entropy and Area	NULL
A Comment on Nonsupersymmetric Fixed Points and Duality at large N	The Large N Limit of Superconformal Field Theories and Supergravity
A Comment on Nonsupersymmetric Fixed Points and Duality at large N	Anti De Sitter Space And Holography
A Comment on Nonsupersymmetric Fixed Points and Duality at large N	Non-Supersymmetric Stable Vacua of M-Theory
A Comment on Nonsupersymmetric Fixed Points and Duality at large N	D-Branes and Dual Gauge Theories in Type 0 String Theory
A Comment on Nonsupersymmetric Fixed Points and Duality at large N	Effective potential in non-supersymmetric SU(N) x SU(N) gauge theory and
A Comment on the Entropy of Strongly Coupled N=4	Entropy and Temperature of Black 3-Branes
A Comment on the Entropy of Strongly Coupled N=4	Universality of the Operator Product Expansions of SCFT_4
A Comment on the Entropy of Strongly Coupled N=4	The Large N Limit of Superconformal Field Theories and Supergravity
A Comment on the Spectrum of H-Monopoles	Bound States Of Strings And p-Branes
A Comment on the Spectrum of H-Monopoles	Small Instantons in String Theory
A Comment on the Stability of String Monopoles	NULL
A Complete Perturbative Expansion for Constrained Quantum Dynamics	NULL
A Condensation of Interacting Bosons in Two Dimensional Space	Solitons in a Bilocal Field Theory
A Condensation of Interacting Bosons in Two Dimensional Space	Bound States in Models of Asymtotic Freedom
A Construction of an Effective Hamiltonian from Feynman Diagrams:	Perturbative Tamm-Dancoff Renormalization
A construction of G_2 holonomy spaces with torus symmetry	Rolling among G_2 vacua
A construction of G_2 holonomy spaces with torus symmetry	Moduli Spaces and Brane Solitons for M-Theory Compactifications on
A construction of G_2 holonomy spaces with torus symmetry	Mirror Symmetry and a G_2 Flop
A construction of G_2 holonomy spaces with torus symmetry	Cohomogeneity One Manifolds of Spin(7) and G(2) Holonomy
A construction of G_2 holonomy spaces with torus symmetry	U(1) x U(1) Quaternionic Metrics from Harmonic Superspace
A construction of G_2 holonomy spaces with torus symmetry	Manifolds of G_2 Holonomy from N=4 Sigma Model
A construction of G_2 holonomy spaces with torus symmetry	M-theory on `toric G_2 cones and its type II reduction
